epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2945.15,1.47713,2.36562,1.52974,1.75661,0,0.7017,0.65357,0.69047,0.4131,0.70956,0.6594,0.70042,0.40883,1.41722,2.21228,1.39173,1.7396,0,0.000980345,0.000980345,0.000980345
29,3050.69,1.45901,2.32912,1.52062,1.72832,0,0.73325,0.62978,0.68931,0.41159,0.7538,0.63599,0.6963,0.39755,1.41256,2.25629,1.37966,1.73948,0,0.000978873,0.000978873,0.000978873
30,3155.85,1.40377,2.3025,1.45871,1.70126,0,0.76267,0.64633,0.71415,0.43643,0.76169,0.65775,0.71885,0.43807,1.37573,2.18395,1.29679,1.69823,0,0.000977349,0.000977349,0.000977349
31,3261.21,1.44665,2.36242,1.51214,1.72543,0,0.69425,0.6484,0.70383,0.41094,0.69517,0.64529,0.69586,0.40475,1.42963,2.25692,1.33202,1.74481,0,0.000975773,0.000975773,0.000975773
32,3366.41,1.41053,2.28657,1.47283,1.70088,0,0.76367,0.65667,0.73582,0.44472,0.77222,0.65909,0.74059,0.43887,1.38886,2.20869,1.27547,1.70988,0,0.000974145,0.000974145,0.000974145
33,3471.57,1.41067,2.25604,1.43756,1.69682,0,0.67854,0.68542,0.72257,0.43581,0.68367,0.68356,0.72281,0.43002,1.41674,2.21477,1.26829,1.71549,0,0.000972466,0.000972466,0.000972466
34,3576.67,1.42966,2.29032,1.44924,1.70067,0,0.7349,0.70217,0.74492,0.45009,0.74377,0.71768,0.75008,0.44842,1.38753,2.18675,1.27448,1.70429,0,0.000970736,0.000970736,0.000970736
35,3681.88,1.38723,2.26629,1.432,1.6991,0,0.75284,0.67942,0.72398,0.43066,0.76171,0.68873,0.72955,0.42051,1.38391,2.20032,1.28294,1.71576,0,0.000968955,0.000968955,0.000968955
36,3787.18,1.40002,2.24868,1.42897,1.69047,0,0.7807,0.63806,0.73181,0.44591,0.78733,0.64702,0.73988,0.44391,1.39725,2.16635,1.30323,1.71272,0,0.000967122,0.000967122,0.000967122
37,3892.67,1.38227,2.24073,1.40575,1.66363,0,0.76369,0.67115,0.74542,0.45591,0.77831,0.68046,0.7509,0.45021,1.34871,2.14232,1.24676,1.65722,0,0.000965239,0.000965239,0.000965239
38,3997.31,1.36311,2.25022,1.4044,1.6533,0,0.74163,0.67322,0.73921,0.44906,0.77633,0.67942,0.7478,0.43828,1.37791,2.23194,1.22738,1.69315,0,0.000963306,0.000963306,0.000963306
39,4102.59,1.367,2.22689,1.41732,1.67227,0,0.72008,0.68367,0.73305,0.44562,0.7341,0.69378,0.74106,0.44292,1.38219,2.15285,1.26537,1.71068,0,0.000961322,0.000961322,0.000961322
40,4207.28,1.36427,2.23289,1.41134,1.65795,0,0.75724,0.69907,0.75006,0.46057,0.77204,0.70746,0.75347,0.45152,1.37527,2.20126,1.21499,1.69963,0,0.000959289,0.000959289,0.000959289
41,4311.66,1.38283,2.24865,1.40099,1.66228,0,0.73619,0.69839,0.73179,0.44578,0.74829,0.71323,0.73805,0.43572,1.33923,2.1558,1.25696,1.65998,0,0.000957205,0.000957205,0.000957205
42,4416.55,1.35057,2.22407,1.38725,1.65428,0,0.74023,0.70941,0.74333,0.45784,0.77089,0.70838,0.75366,0.45157,1.32841,2.1518,1.23554,1.64804,0,0.000955072,0.000955072,0.000955072
43,4520.7,1.35811,2.19428,1.38491,1.63752,0,0.75005,0.68581,0.73489,0.451,0.75991,0.7001,0.74602,0.43799,1.34157,2.16048,1.23275,1.66105,0,0.000952889,0.000952889,0.000952889
44,4624.63,1.3442,2.1631,1.34958,1.63075,0,0.75547,0.67632,0.7384,0.4605,0.76851,0.68563,0.74613,0.45533,1.34183,2.13465,1.20461,1.6478,0,0.000950658,0.000950658,0.000950658
45,4728.83,1.34089,2.19166,1.35851,1.63091,0,0.77451,0.66598,0.75603,0.47382,0.78557,0.67436,0.75802,0.46075,1.32267,2.15538,1.1698,1.63713,0,0.000948377,0.000948377,0.000948377
46,4833.52,1.31299,2.1378,1.29964,1.61522,0,0.73396,0.70941,0.75137,0.47449,0.76157,0.70321,0.76276,0.46375,1.30718,2.12265,1.1719,1.62054,0,0.000946048,0.000946048,0.000946048
47,4937.64,1.31903,2.17653,1.31832,1.61199,0,0.77055,0.70527,0.76975,0.48665,0.79576,0.69493,0.77376,0.46591,1.30093,2.08058,1.13861,1.61607,0,0.000943671,0.000943671,0.000943671
48,5042.12,1.32443,2.15563,1.29761,1.61164,0,0.73544,0.71768,0.7671,0.48552,0.74614,0.72285,0.76774,0.47053,1.29163,2.1288,1.13432,1.62766,0,0.000941245,0.000941245,0.000941245
49,5147.08,1.29888,2.12228,1.27095,1.60093,0,0.76972,0.67402,0.76324,0.48817,0.78275,0.68928,0.76721,0.47137,1.29234,2.13988,1.13015,1.61025,0,0.000938772,0.000938772,0.000938772
50,5252.16,1.3064,2.1235,1.29985,1.5957,0,0.80741,0.68356,0.76958,0.48201,0.81596,0.6908,0.77435,0.47101,1.33068,2.15057,1.12016,1.64959,0,0.000936251,0.000936251,0.000936251
51,5357.23,1.30413,2.13368,1.29086,1.59842,0,0.78254,0.69286,0.7662,0.47469,0.7829,0.7011,0.76165,0.45236,1.31867,2.14543,1.15126,1.61764,0,0.000933683,0.000933683,0.000933683
52,5461.96,1.2688,2.12912,1.27169,1.57004,0,0.76967,0.71533,0.77439,0.49254,0.77574,0.71148,0.77194,0.47413,1.26751,2.09836,1.10729,1.58463,0,0.000931067,0.000931067,0.000931067
53,5566.86,1.28264,2.08814,1.24326,1.58836,0,0.78104,0.69597,0.77026,0.49376,0.79221,0.70179,0.77342,0.4784,1.29303,2.11262,1.10712,1.60363,0,0.000928405,0.000928405,0.000928405
54,5671.88,1.27694,2.11305,1.2312,1.57068,0,0.8001,0.70941,0.79281,0.49425,0.79788,0.71975,0.7935,0.48006,1.29317,2.09175,1.1056,1.60275,0,0.000925697,0.000925697,0.000925697
55,5777.35,1.28035,2.10733,1.23997,1.57841,0,0.73676,0.73837,0.77541,0.49156,0.73986,0.74147,0.77501,0.4733,1.29479,2.105,1.09785,1.60833,0,0.000922942,0.000922942,0.000922942
56,5881.99,1.26449,2.09633,1.25079,1.5691,0,0.78096,0.68949,0.7739,0.50117,0.7727,0.70734,0.77537,0.47878,1.27488,2.08149,1.08977,1.60001,0,0.000920142,0.000920142,0.000920142
57,5986.83,1.27667,2.10069,1.25337,1.57573,0,0.76721,0.72492,0.7777,0.50261,0.76928,0.73097,0.78411,0.48277,1.25454,2.04192,1.08968,1.58021,0,0.000917296,0.000917296,0.000917296
58,6091.62,1.27647,2.09908,1.20754,1.56688,0,0.74954,0.70734,0.77503,0.50097,0.76272,0.71872,0.77839,0.48912,1.27208,2.07192,1.07538,1.59459,0,0.000914405,0.000914405,0.000914405
59,6197.03,1.24898,2.06708,1.19111,1.55339,0,0.80629,0.69907,0.78345,0.49588,0.81825,0.70734,0.78831,0.47929,1.28355,2.08771,1.08148,1.59975,0,0.000911469,0.000911469,0.000911469
60,6302.23,1.25917,2.05655,1.20629,1.55454,0,0.74622,0.72079,0.76952,0.49706,0.76831,0.72701,0.78811,0.48159,1.25693,2.03139,1.10358,1.57133,0,0.000908488,0.000908488,0.000908488
61,6407.2,1.24229,2.06674,1.20796,1.54395,0,0.79887,0.7001,0.77615,0.49816,0.81657,0.71562,0.78793,0.48775,1.26099,2.05343,1.11069,1.57479,0,0.000905463,0.000905463,0.000905463
62,6512.35,1.26486,2.06971,1.19168,1.55086,0,0.79098,0.70831,0.78,0.49484,0.81305,0.71062,0.78449,0.47205,1.30277,2.12899,1.10186,1.60257,0,0.000902395,0.000902395,0.000902395
63,6617.21,1.24242,2.04482,1.17006,1.54746,0,0.78378,0.71355,0.77852,0.50441,0.80132,0.72285,0.78916,0.48893,1.26464,2.07784,1.06781,1.57628,0,0.000899282,0.000899282,0.000899282
64,6722.33,1.24167,2.04567,1.17367,1.54098,0,0.7906,0.73792,0.78962,0.50842,0.7922,0.7456,0.7939,0.4909,1.26505,2.0694,1.04887,1.57551,0,0.000896127,0.000896127,0.000896127
65,6827.83,1.2471,2.04918,1.17619,1.53747,0,0.79419,0.697,0.77533,0.49943,0.80833,0.70941,0.78482,0.48693,1.2708,2.05742,1.08332,1.58041,0,0.000892928,0.000892928,0.000892928
66,6933.06,1.24806,2.04412,1.16777,1.55016,0,0.82306,0.7001,0.77976,0.50282,0.8311,0.71044,0.78522,0.48412,1.29455,2.0763,1.06711,1.60366,0,0.000889687,0.000889687,0.000889687
67,7038.13,1.22011,2.04483,1.16825,1.53115,0,0.78005,0.72615,0.79229,0.51046,0.80858,0.72512,0.79611,0.49463,1.2481,2.03113,1.03616,1.57093,0,0.000886404,0.000886404,0.000886404
68,7143.21,1.23702,2.04063,1.16493,1.54617,0,0.78099,0.72182,0.79118,0.50921,0.8013,0.7363,0.79737,0.4897,1.2782,2.05809,1.05801,1.5778,0,0.000883079,0.000883079,0.000883079
69,7247.5,1.22276,2.00586,1.13967,1.51933,0,0.80851,0.69493,0.78615,0.50949,0.82294,0.70734,0.79208,0.49057,1.25892,2.06144,1.04991,1.57498,0,0.000879713,0.000879713,0.000879713
70,7352,1.21037,2.0111,1.1399,1.52447,0,0.78373,0.7083,0.78804,0.51233,0.79814,0.71562,0.79377,0.49728,1.26341,2.05315,1.01005,1.57378,0,0.000876305,0.000876305,0.000876305
71,7457.59,1.21166,1.95496,1.13492,1.51759,0,0.7557,0.73113,0.77539,0.50319,0.76901,0.74664,0.78909,0.49394,1.25587,2.04593,1.04766,1.57658,0,0.000872857,0.000872857,0.000872857
72,7562.84,1.20876,1.98548,1.13723,1.50771,0,0.80214,0.71768,0.79103,0.5119,0.81112,0.72388,0.79501,0.49452,1.2421,2.03711,1.0347,1.54623,0,0.000869368,0.000869368,0.000869368
73,7666.89,1.19415,1.98057,1.12076,1.49404,0,0.7548,0.73218,0.78361,0.514,0.77126,0.75078,0.7947,0.49766,1.26419,2.03257,1.01663,1.56871,0,0.000865839,0.000865839,0.000865839
74,7771.68,1.21337,1.98706,1.10749,1.50294,0,0.80371,0.70286,0.78611,0.49965,0.81198,0.7101,0.78877,0.49136,1.2755,2.04018,1.03758,1.59254,0,0.000862271,0.000862271,0.000862271
75,7876.61,1.201,1.97102,1.11921,1.49994,0,0.77519,0.73099,0.7921,0.51531,0.78334,0.74402,0.79869,0.49808,1.24814,2.02977,1.01494,1.55149,0,0.000858664,0.000858664,0.000858664
76,7981.38,1.18754,1.97388,1.10706,1.48443,0,0.79953,0.72079,0.78949,0.50968,0.8087,0.72906,0.79438,0.49514,1.25204,2.04206,1.01399,1.55896,0,0.000855018,0.000855018,0.000855018
77,8085.93,1.1995,1.96014,1.11593,1.49389,0,0.81149,0.72116,0.80007,0.51572,0.82396,0.72285,0.79956,0.49958,1.25058,2.01229,0.99213,1.55385,0,0.000851333,0.000851333,0.000851333
78,8191.17,1.19604,1.97286,1.09565,1.50015,0,0.77623,0.73179,0.79675,0.51146,0.79907,0.7363,0.79976,0.49261,1.27574,2.05341,0.98315,1.57732,0,0.000847611,0.000847611,0.000847611
79,8296.46,1.19581,1.98939,1.1344,1.50523,0,0.76523,0.74831,0.79481,0.51145,0.79039,0.76112,0.80257,0.49942,1.26711,2.06329,1.03717,1.56676,0,0.000843851,0.000843851,0.000843851
80,8401.58,1.18217,1.99859,1.10446,1.47407,0,0.77858,0.73818,0.7883,0.51689,0.79525,0.74354,0.79755,0.49982,1.24058,2.03448,0.98069,1.54042,0,0.000840054,0.000840054,0.000840054
81,8506.77,1.18152,1.94766,1.08803,1.47901,0,0.80104,0.74354,0.79961,0.52051,0.81064,0.74871,0.80299,0.50683,1.21923,2.05143,1.00421,1.5292,0,0.00083622,0.00083622,0.00083622
82,8612.3,1.1734,1.93873,1.08877,1.46928,0,0.77354,0.75284,0.79743,0.52402,0.78787,0.76422,0.80758,0.50592,1.2307,2.00798,0.97843,1.53644,0,0.000832349,0.000832349,0.000832349
83,8717.72,1.15602,1.94704,1.07774,1.46612,0,0.79386,0.74475,0.80384,0.52248,0.80663,0.75078,0.802,0.50319,1.24151,2.04,0.97468,1.54239,0,0.000828443,0.000828443,0.000828443
84,8822.69,1.16481,1.93626,1.07344,1.466,0,0.79572,0.75731,0.80177,0.52488,0.81098,0.74983,0.80649,0.50357,1.23095,2.05995,0.97486,1.54529,0,0.000824502,0.000824502,0.000824502
85,8928.17,1.17127,1.94438,1.06438,1.46983,0,0.78888,0.74974,0.79426,0.52133,0.79867,0.75905,0.80504,0.50594,1.23636,2.03907,0.95761,1.5384,0,0.000820525,0.000820525,0.000820525
86,9032.79,1.17483,1.93415,1.06841,1.47222,0,0.77123,0.75652,0.79499,0.52165,0.80061,0.74664,0.79872,0.5024,1.22999,2.04243,1.00115,1.53052,0,0.000816514,0.000816514,0.000816514
87,9137.17,1.15219,1.93416,1.05523,1.45658,0,0.7849,0.74147,0.79488,0.52578,0.80212,0.74767,0.80693,0.50818,1.23406,2.00728,0.96226,1.5406,0,0.000812468,0.000812468,0.000812468
88,9242.25,1.14604,1.9307,1.04939,1.45184,0,0.81827,0.74503,0.80437,0.52031,0.82509,0.75123,0.80144,0.5016,1.22262,1.99801,0.9679,1.5246,0,0.000808389,0.000808389,0.000808389
89,9347.31,1.1582,1.93844,1.06448,1.4652,0,0.82053,0.73755,0.80742,0.53084,0.82784,0.73526,0.80731,0.5074,1.22192,2.01497,0.94691,1.51902,0,0.000804277,0.000804277,0.000804277
