epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2046.14,1.43291,2.35137,1.4343,1.69012,0,0.71307,0.65564,0.69808,0.43326,0.72489,0.64529,0.69509,0.42184,1.34208,2.23171,1.3056,1.65763,0,0.000980345,0.000980345,0.000980345
29,2118.43,1.43639,2.32635,1.44233,1.6918,0,0.71627,0.66081,0.6957,0.40573,0.72734,0.65656,0.694,0.39967,1.4012,2.19407,1.32723,1.7074,0,0.000978873,0.000978873,0.000978873
30,2190.46,1.40002,2.3105,1.38594,1.68182,0,0.74285,0.64426,0.72614,0.43736,0.75147,0.65253,0.73133,0.43872,1.37544,2.17399,1.27344,1.70231,0,0.000977349,0.000977349,0.000977349
31,2262.48,1.43241,2.3492,1.43338,1.69415,0,0.7462,0.63185,0.70538,0.42698,0.75669,0.64,0.71278,0.42336,1.41986,2.24345,1.27756,1.70468,0,0.000975773,0.000975773,0.000975773
32,2334.41,1.41559,2.28068,1.40493,1.68207,0,0.75242,0.62875,0.71486,0.44071,0.73349,0.65462,0.71403,0.42122,1.36246,2.19843,1.24211,1.66945,0,0.000974145,0.000974145,0.000974145
33,2406.42,1.37599,2.24838,1.35737,1.65738,0,0.75483,0.65667,0.73176,0.45054,0.7638,0.66494,0.73588,0.44455,1.37819,2.16762,1.17986,1.67271,0,0.000972466,0.000972466,0.000972466
34,2478.56,1.39231,2.28022,1.37069,1.65252,0,0.7145,0.64426,0.71734,0.44342,0.7626,0.62358,0.71999,0.42975,1.35414,2.20895,1.29315,1.67725,0,0.000970736,0.000970736,0.000970736
35,2550.76,1.37336,2.29684,1.37571,1.66317,0,0.72148,0.68252,0.70994,0.42214,0.72829,0.69493,0.71247,0.41103,1.38986,2.20801,1.25327,1.71379,0,0.000968955,0.000968955,0.000968955
36,2622.72,1.3884,2.2855,1.36479,1.66544,0,0.76597,0.63806,0.73291,0.4544,0.77787,0.64461,0.73302,0.4486,1.35144,2.17224,1.23836,1.67181,0,0.000967122,0.000967122,0.000967122
37,2694.96,1.35965,2.24227,1.32988,1.62284,0,0.75866,0.68591,0.73623,0.44756,0.75575,0.6908,0.73966,0.43877,1.36046,2.1457,1.20086,1.65768,0,0.000965239,0.000965239,0.000965239
