epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2239.93,1.15584,1.91007,0.92092,1.20694,0,0.75907,0.72822,0.77836,0.49707,0.78374,0.72558,0.7766,0.47595,1.34812,2.2818,1.01417,1.35352,0,0.0014654,0.0014654,0.0014654
29,2319.48,1.16997,1.9248,0.91748,1.21218,0,0.80696,0.69817,0.77959,0.50468,0.81895,0.70855,0.79206,0.48513,1.32803,2.2269,0.99058,1.34563,0,0.0014456,0.0014456,0.0014456
30,2399.24,1.14878,1.91348,0.90268,1.2019,0,0.82557,0.69718,0.78481,0.51254,0.8357,0.70702,0.78936,0.48614,1.31396,2.21164,0.98982,1.32916,0,0.0014258,0.0014258,0.0014258
31,2479.01,1.1383,1.89077,0.88636,1.18724,0,0.77453,0.74066,0.78089,0.50384,0.78716,0.74429,0.78174,0.48338,1.31633,2.23803,0.97353,1.34302,0,0.001406,0.001406,0.001406
32,2558.56,1.13982,1.88442,0.88037,1.1868,0,0.76974,0.72131,0.7697,0.49346,0.76656,0.71873,0.77101,0.46635,1.34516,2.25541,1.04413,1.3499,0,0.0013862,0.0013862,0.0013862
33,2638.3,1.12917,1.87453,0.86692,1.18864,0,0.80325,0.70539,0.78323,0.50595,0.81918,0.69081,0.77611,0.48224,1.31141,2.18091,0.99312,1.33745,0,0.0013664,0.0013664,0.0013664
34,2717.8,1.1199,1.83871,0.87257,1.18401,0,0.78912,0.71814,0.78497,0.50458,0.79952,0.7157,0.7756,0.48291,1.32545,2.27589,0.98116,1.359,0,0.0013466,0.0013466,0.0013466
35,2797.42,1.12236,1.88586,0.882,1.18428,0,0.8158,0.69398,0.79064,0.51079,0.81794,0.69442,0.78627,0.49513,1.32573,2.23917,0.97055,1.35112,0,0.0013268,0.0013268,0.0013268
36,2876.84,1.12301,1.83273,0.86196,1.18306,0,0.7953,0.70954,0.77537,0.50897,0.80029,0.71266,0.77525,0.48281,1.31691,2.24752,0.97575,1.34938,0,0.001307,0.001307,0.001307
37,2956.47,1.11255,1.84194,0.87458,1.18193,0,0.80436,0.72925,0.79723,0.51843,0.81443,0.7239,0.79077,0.48759,1.30814,2.23234,0.94762,1.32824,0,0.0012872,0.0012872,0.0012872
38,3036.58,1.09103,1.81564,0.83541,1.16585,0,0.80788,0.7334,0.80864,0.52778,0.80877,0.73704,0.80536,0.49843,1.28341,2.22639,0.92109,1.30943,0,0.0012674,0.0012674,0.0012674
39,3117.41,1.09166,1.81867,0.81986,1.16678,0,0.78895,0.75622,0.80511,0.51985,0.79249,0.75668,0.80255,0.49422,1.28984,2.16888,0.93056,1.31999,0,0.0012476,0.0012476,0.0012476
